Artist,Title,"('PeakPos', 'min')","('Duration', 'max')","('Date', 'min')"
Jose Feliciano,Feliz Navidad,44.0,2.0,2017-01-07
Bobby Helms,Jingle Bell Rock,29.0,20.0,2016-01-09
Addison Agen,Tennessee Rain,67.0,1.0,2018-01-03
Chloe Kohanski,Wish I Didn't Love You,69.0,1.0,2018-01-03
Red Marlow,I Pray,84.0,1.0,2018-01-03
Eminem,Believe,31.0,15.0,2015-03-28
Kendrick Lamar,Humble.,1.0,37.0,2017-04-22
Shawn Mendes,There's Nothing Holdin' Me Back,6.0,34.0,2017-05-13
Big Sean & Metro Boomin Featuring Travis Scott,Go Legend,67.0,1.0,2017-12-30
Luke Combs,When It Rains It Pours,33.0,20.0,2017-08-19
Big Sean & Metro Boomin Featuring 21 Savage,Pull Up N Wreck,80.0,2.0,2017-11-25
Migos & Marshmello,Danger,82.0,1.0,2017-12-30
Eminem,Untouchable,86.0,2.0,2017-09-02
"21 Savage, Offset & Metro Boomin Featuring Travis Scott",Ghostface Killers,35.0,7.0,2017-11-18
XXXTENTACION,Jocelyn Flores,31.0,16.0,2017-09-16
Calvin Harris Featuring Kehlani & Lil Yachty,Faking It,94.0,4.0,2017-12-09
Post Malone Featuring Quavo,Congratulations,8.0,50.0,2016-12-31
Kelly Clarkson,Love So Soft,47.0,13.0,2017-09-30
Kodak Black,Transportin',46.0,16.0,2017-09-09
Garth Brooks,Ask Me How I Know,71.0,7.0,2017-11-04
Romeo Santos Featuring Nicky Jam & Daddy Yankee,Bella y Sensual,95.0,1.0,2017-12-23
Lil Uzi Vert,Sauce It Up,49.0,15.0,2017-09-16
Yo Gotti Featuring Nicki Minaj,Rake It Up,8.0,22.0,2017-07-22
Kesha,Praying,22.0,21.0,2017-07-29
Liam Payne Featuring Quavo,Strip That Down,10.0,28.0,2017-06-10
Blackbear,Do Re Mi,40.0,25.0,2017-05-13
Niall Horan,Slow Hands,11.0,31.0,2017-05-20
Chris Janson,Fix A Drink,67.0,14.0,2017-09-02
Jake Paul Featuring Team 10,It's Everyday Bro,91.0,2.0,2017-06-24
Post Malone,Go Flex,76.0,11.0,2016-05-14
Chloe Kohanski,Total Eclipse Of The Heart,99.0,1.0,2017-12-16
Shakira Featuring Nicky Jam,Perro Fiel,100.0,1.0,2017-12-16
Lil Peep,Awful Things,79.0,1.0,2017-12-09
Young Thug Featuring Future,Relationship,65.0,14.0,2017-07-08
Carly Pearce,Every Little Thing,50.0,17.0,2017-08-19
Macklemore Featuring Skylar Grey,Glorious,49.0,19.0,2017-07-29
Chris Brown,Questions,78.0,13.0,2017-09-09
Tim McGraw & Faith Hill,The Rest Of Our Life,98.0,1.0,2017-12-09
Kane Brown Featuring Lauren Alaina,What Ifs,26.0,23.0,2017-07-01
Lil Uzi Vert,XO TOUR Llif3,7.0,34.0,2017-04-15
The Chainsmokers & Coldplay,Something Just Like This,3.0,39.0,2017-03-11
GoldLink Featuring Brent Faiyaz & Shy Glizzy,Crew,45.0,21.0,2017-07-15
Taylor Swift,Call It What You Want,27.0,2.0,2017-11-25
"21 Savage, Offset & Metro Boomin Featuring Quavo",Rap Saved Me,64.0,3.0,2017-11-18
Taylor Swift,Gorgeous,13.0,4.0,2017-11-11
Florida Georgia Line,Smooth,89.0,7.0,2017-10-21
G-Eazy,The Plan,96.0,1.0,2017-12-02
Future & Young Thug Featuring Offset,Patek Water,50.0,4.0,2017-11-11
